episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,r_stability,r_centering,r_scale,phase,target_offset,init_pos,init_vel,init_ang
70,7000,52.08,112,44.6,0.5862,0.1674,0.4819,0.45,0.3593,0.2985,A,0.109,0.205,0.102,0.05
71,7065,12.74,65,44.6,0.7488,0.1584,0.4973,0.3692,0.2285,0.306,A,0.109,0.205,0.102,0.05
72,7231,153.07,166,81.3,0.8369,0.1176,0.4877,0.4413,0.3353,0.3924,A,0.11,0.205,0.102,0.05
73,7382,-56.29,151,18.5,0.6139,0.1972,0.515,0.2178,0.1576,0.1326,A,0.11,0.205,0.102,0.05
74,7494,113.27,112,62.5,0.6548,0.1869,0.4925,0.5456,0.4525,0.4775,A,0.11,0.205,0.102,0.05
75,7588,62.35,94,46.8,0.5783,0.2303,0.5045,0.5223,0.3781,0.4012,A,0.11,0.205,0.103,0.05
76,7651,62.33,63,57.1,0.5001,0.2194,0.4853,0.4875,0.6235,0.4656,A,0.11,0.205,0.103,0.05
77,7711,35.85,60,53.3,0.6753,0.1982,0.5168,0.4527,0.3744,0.4037,A,0.11,0.205,0.103,0.05
78,7809,80.69,98,60.2,0.7062,0.175,0.49,0.5818,0.2867,0.4549,A,0.11,0.205,0.103,0.05
79,7880,41.33,71,47.9,0.5341,0.2002,0.4656,0.4174,0.4866,0.3402,A,0.111,0.205,0.103,0.05
80,7942,37.74,62,54.8,0.6524,0.1846,0.5122,0.4694,0.3529,0.3994,A,0.111,0.205,0.103,0.05
81,8058,228.41,116,79.3,0.4755,0.2223,0.4885,0.7475,0.8601,0.6546,A,0.111,0.205,0.103,0.05
82,8134,55.98,76,65.8,0.7505,0.1322,0.5427,0.4715,0.4105,0.3282,A,0.111,0.205,0.103,0.05
83,8188,27.04,54,48.1,0.6106,0.2109,0.4951,0.419,0.3896,0.3959,A,0.111,0.205,0.103,0.05
84,8279,64.26,91,70.3,0.9037,0.1267,0.5058,0.4828,0.244,0.386,A,0.111,0.206,0.103,0.05
85,8367,117.49,88,71.6,0.4884,0.1291,0.4949,0.6272,0.7305,0.3751,A,0.111,0.206,0.103,0.05
86,8526,96.75,159,45.9,0.5982,0.2286,0.4935,0.4746,0.3416,0.3961,A,0.111,0.206,0.103,0.05
87,8676,113.48,150,52.0,0.6144,0.2006,0.5072,0.5067,0.3937,0.4029,A,0.112,0.206,0.103,0.05
88,8842,94.11,166,53.0,0.7761,0.1366,0.4925,0.5557,0.234,0.3074,A,0.112,0.206,0.103,0.05
89,8950,157.0,108,70.4,0.532,0.2044,0.5123,0.5892,0.6597,0.5937,A,0.112,0.206,0.103,0.05
90,9014,-12.39,64,28.1,0.6414,0.1552,0.4883,0.2986,0.1899,0.193,A,0.112,0.206,0.103,0.05
91,9081,36.57,67,41.8,0.4944,0.2006,0.4959,0.5252,0.4355,0.3166,A,0.112,0.206,0.103,0.05
92,9156,46.55,75,50.7,0.6156,0.2172,0.481,0.4183,0.4051,0.4239,A,0.112,0.206,0.103,0.05
93,9219,35.63,63,50.8,0.6674,0.1935,0.509,0.5332,0.3207,0.3625,A,0.112,0.206,0.103,0.05
94,9268,33.85,49,51.0,0.4745,0.2173,0.4933,0.4195,0.5651,0.4002,A,0.112,0.206,0.103,0.05
95,9362,125.77,94,58.5,0.4025,0.2287,0.4969,0.6222,0.73,0.5071,A,0.112,0.206,0.103,0.05
96,9458,44.97,96,52.1,0.7203,0.1566,0.5094,0.4184,0.3152,0.3182,A,0.113,0.206,0.103,0.05
97,9516,68.72,58,58.6,0.4129,0.2205,0.5202,0.5754,0.7279,0.4677,A,0.113,0.206,0.103,0.05
98,9561,52.81,45,62.2,0.424,0.2255,0.4903,0.498,0.7638,0.5117,A,0.113,0.206,0.103,0.05
99,9703,95.93,142,85.2,0.8514,0.0772,0.5243,0.3189,0.2675,0.3075,A,0.113,0.206,0.103,0.05
100,9764,7.12,61,34.4,0.5311,0.1783,0.4854,0.3628,0.3279,0.2458,A,0.113,0.207,0.103,0.05
101,9873,59.09,109,35.8,0.3604,0.2393,0.5014,0.4933,0.4985,0.2842,A,0.113,0.207,0.103,0.05
102,9987,116.39,114,64.9,0.6471,0.1805,0.5162,0.5196,0.4772,0.4627,A,0.113,0.207,0.103,0.05
103,10066,143.8,79,78.5,0.4892,0.2162,0.5457,0.644,0.8442,0.6739,A,0.113,0.207,0.103,0.05
104,10118,35.87,52,46.2,0.4136,0.2114,0.5163,0.4873,0.5654,0.3679,A,0.113,0.207,0.103,0.05
105,10199,24.95,81,38.3,0.5443,0.1896,0.5014,0.4297,0.3481,0.271,A,0.114,0.207,0.103,0.05
106,10282,22.79,83,42.2,0.6692,0.2037,0.5459,0.3746,0.2488,0.3499,A,0.114,0.207,0.103,0.05
107,10405,47.0,123,39.0,0.53,0.181,0.5201,0.4177,0.3721,0.2833,A,0.114,0.207,0.103,0.05
108,10566,58.2,161,61.5,0.9367,0.1095,0.5221,0.3374,0.165,0.3063,A,0.114,0.207,0.104,0.05
109,10666,70.27,100,66.0,0.7396,0.1048,0.5218,0.4823,0.3687,0.2917,A,0.114,0.207,0.104,0.05
110,10937,285.8,271,47.2,0.4013,0.2273,0.521,0.6529,0.5875,0.3788,A,0.115,0.207,0.104,0.05
111,11268,151.14,331,34.4,0.5679,0.2153,0.5134,0.5913,0.3242,0.2269,A,0.115,0.208,0.104,0.05
112,11839,172.81,571,19.3,0.4336,0.2005,0.5202,0.744,0.2286,0.155,A,0.116,0.208,0.104,0.05
113,12067,515.57,228,87.3,0.3866,0.1661,0.4906,0.7229,1.1137,0.5957,A,0.116,0.208,0.104,0.05
114,12304,560.33,237,97.0,0.4154,0.1721,0.4654,0.6073,1.1671,0.6616,A,0.116,0.208,0.104,0.05
115,12533,509.24,229,89.5,0.4694,0.1592,0.4815,0.7414,1.0125,0.6184,A,0.117,0.208,0.104,0.05
116,12745,444.15,212,90.6,0.4523,0.2012,0.4945,0.6004,0.9995,0.6367,A,0.117,0.208,0.104,0.05
117,12993,742.42,248,97.6,0.2343,0.1867,0.4817,0.7319,1.6055,0.7208,A,0.117,0.209,0.104,0.05
118,13197,587.8,204,100.0,0.1983,0.1396,0.4673,0.5845,1.7341,0.6118,A,0.118,0.209,0.104,0.05
119,13445,744.2,248,99.6,0.1816,0.1435,0.4695,0.6832,1.7596,0.6024,A,0.118,0.209,0.104,0.05
120,13648,584.01,203,100.0,0.2381,0.1365,0.4975,0.7218,1.6131,0.5913,A,0.118,0.209,0.105,0.05
121,13892,752.6,244,100.0,0.1794,0.1422,0.4541,0.7234,1.7861,0.6159,A,0.119,0.209,0.105,0.05
122,14170,848.6,278,100.0,0.1733,0.0909,0.4878,0.8628,1.7993,0.4264,A,0.119,0.209,0.105,0.05
123,14390,680.58,220,100.0,0.1507,0.1354,0.4668,0.7139,1.8291,0.596,A,0.119,0.21,0.105,0.05
124,14592,488.44,202,96.0,0.2995,0.136,0.4792,0.4954,1.4369,0.5749,A,0.119,0.21,0.105,0.05
125,14791,579.54,199,100.0,0.1782,0.1275,0.494,0.6142,1.7928,0.5555,A,0.12,0.21,0.105,0.05
126,15023,617.19,232,96.6,0.2207,0.1267,0.4981,0.5855,1.6138,0.5386,A,0.12,0.21,0.105,0.05
127,15247,629.78,224,100.0,0.1846,0.1209,0.5044,0.5903,1.7326,0.5333,A,0.12,0.21,0.105,0.05
128,15447,547.53,200,98.5,0.2665,0.1504,0.5104,0.658,1.5315,0.6132,A,0.121,0.21,0.105,0.05
129,15671,628.06,224,100.0,0.2672,0.1182,0.4748,0.747,1.5741,0.5274,A,0.121,0.21,0.105,0.05
130,15905,646.38,234,100.0,0.2481,0.1097,0.4933,0.6928,1.6233,0.489,A,0.121,0.211,0.105,0.05
131,16121,626.25,216,100.0,0.2024,0.0962,0.4815,0.763,1.7397,0.4429,A,0.121,0.211,0.105,0.05
132,16366,642.67,245,95.1,0.2429,0.1102,0.5421,0.7245,1.5164,0.472,A,0.122,0.211,0.105,0.05
133,16575,670.65,209,100.0,0.1458,0.1022,0.4928,0.9336,1.8567,0.4664,A,0.122,0.211,0.106,0.05
134,16766,537.76,191,100.0,0.2319,0.1125,0.4555,0.7103,1.6485,0.509,A,0.122,0.211,0.106,0.05
135,17014,643.68,248,100.0,0.297,0.0983,0.4722,0.7052,1.4827,0.4479,A,0.123,0.211,0.106,0.05
136,17222,470.59,208,98.1,0.3919,0.1074,0.492,0.5644,1.2888,0.4766,A,0.123,0.211,0.106,0.05
137,17453,557.72,231,95.2,0.3241,0.1151,0.4893,0.6429,1.3678,0.4946,A,0.123,0.212,0.106,0.05
138,17643,457.05,190,100.0,0.3183,0.1228,0.4997,0.4796,1.4291,0.5495,A,0.124,0.212,0.106,0.05
139,17860,555.49,217,100.0,0.3451,0.13,0.471,0.6585,1.3768,0.5707,A,0.124,0.212,0.106,0.05
140,18137,868.76,277,100.0,0.12,0.1095,0.4538,0.7835,1.8929,0.496,A,0.124,0.212,0.106,0.05
141,18353,601.78,216,100.0,0.2685,0.1199,0.4487,0.697,1.596,0.5393,A,0.124,0.212,0.106,0.05
142,18598,544.75,245,88.2,0.2985,0.1175,0.4763,0.6042,1.3167,0.4617,A,0.125,0.212,0.106,0.05
143,18834,620.62,236,100.0,0.2796,0.1276,0.4444,0.6029,1.4966,0.5726,A,0.125,0.213,0.106,0.05
144,19059,632.61,225,100.0,0.1791,0.121,0.4724,0.5355,1.775,0.5456,A,0.125,0.213,0.106,0.05
145,19313,707.68,254,100.0,0.2182,0.1088,0.4862,0.6783,1.6535,0.4937,A,0.126,0.213,0.106,0.05
146,19521,578.47,208,100.0,0.2417,0.1377,0.4578,0.5738,1.6533,0.6021,A,0.126,0.213,0.107,0.05
147,19747,668.42,226,100.0,0.1269,0.1262,0.4853,0.5642,1.8789,0.5589,A,0.126,0.213,0.107,0.05
148,19946,544.35,199,100.0,0.2314,0.1221,0.5273,0.6081,1.6444,0.5333,A,0.127,0.213,0.107,0.05
149,20146,496.0,200,100.0,0.3652,0.1297,0.5435,0.6359,1.3234,0.5707,A,0.127,0.213,0.107,0.05
150,20360,600.41,214,100.0,0.1861,0.1399,0.518,0.5044,1.7532,0.5947,A,0.127,0.214,0.107,0.05
151,20644,836.12,284,100.0,0.2613,0.1595,0.4555,0.7075,1.572,0.6998,A,0.128,0.214,0.107,0.05
152,20844,598.13,200,100.0,0.2037,0.1497,0.5416,0.7085,1.6956,0.6365,A,0.128,0.214,0.107,0.05
153,21069,712.42,225,100.0,0.1149,0.1546,0.483,0.6642,1.8945,0.6521,A,0.128,0.214,0.107,0.05
154,21309,615.06,240,93.8,0.2971,0.1698,0.4624,0.5762,1.3969,0.6938,A,0.128,0.214,0.107,0.05
155,21515,598.57,206,100.0,0.1157,0.1238,0.4924,0.5208,1.8868,0.5467,A,0.129,0.214,0.107,0.05
156,21736,666.42,221,100.0,0.2163,0.1915,0.4208,0.6395,1.6793,0.7419,A,0.129,0.214,0.107,0.05
157,21921,523.35,185,100.0,0.2467,0.1691,0.4548,0.5952,1.5811,0.7067,A,0.129,0.215,0.107,0.05
158,22124,588.06,203,100.0,0.2023,0.1785,0.5158,0.5668,1.6867,0.6927,A,0.129,0.215,0.107,0.05
159,22368,591.37,244,91.4,0.2978,0.1643,0.4327,0.6122,1.3468,0.5917,A,0.13,0.215,0.107,0.05
160,22596,539.48,228,92.1,0.3174,0.1563,0.424,0.6027,1.3172,0.5691,A,0.13,0.215,0.108,0.05
161,22786,561.24,190,100.0,0.2257,0.2029,0.4516,0.6236,1.6814,0.7015,A,0.13,0.215,0.108,0.05
162,23054,592.44,268,89.9,0.334,0.1436,0.46,0.5973,1.2478,0.5036,A,0.131,0.215,0.108,0.05
