episode,timestep,reward,steps,mean_pos_error,mean_alt_error,omega_scale,phase,r_tracking,r_velocity,r_altitude,r_stability,r_progress,r_off_track
114,12252,5.82,242,1.116,2.7189,0.32,A,0.3449,0.5011,0.0,0.4188,0.1,-0.3657
115,12496,8.87,244,0.8071,1.8677,0.325,A,0.5212,0.6995,0.0,0.4729,0.1,-0.3094
116,12693,9.24,197,1.0182,1.5055,0.325,A,0.7392,0.7701,0.0,0.491,0.1,-0.1853
117,12977,11.13,284,1.1847,1.6297,0.325,A,0.5417,0.7065,0.0001,0.4733,0.1,-0.2113
118,13197,10.35,220,0.8054,0.7695,0.325,A,0.613,0.7961,0.1245,0.6056,0.1,-0.2727
119,13573,12.88,376,1.1545,1.3126,0.325,A,0.2779,0.7553,0.2072,0.4991,0.1,-0.3923
120,13812,6.58,239,0.8576,1.7888,0.325,A,0.3648,0.5941,0.0,0.477,0.1,-0.3494
121,13987,7.57,175,1.4383,1.5212,0.325,A,0.6145,0.9214,0.0,0.4906,0.1,-0.2771
122,14160,6.39,173,0.755,1.0922,0.325,A,0.5625,0.6689,0.0001,0.5475,0.1,-0.289
123,14405,8.49,245,1.6267,1.0723,0.329,A,0.4142,0.6325,0.0001,0.6566,0.1,-0.3224
124,14655,10.18,250,2.029,1.4201,0.329,A,0.554,0.7563,0.0,0.6397,0.1,-0.312
125,14870,6.84,215,0.7006,1.3501,0.329,A,0.4001,0.5641,0.0,0.5977,0.1,-0.2791
126,15026,5.84,156,1.7571,1.574,0.329,A,0.4972,0.8998,0.0,0.4446,0.1,-0.3109
127,15358,14.82,332,0.5371,0.8747,0.329,A,0.5695,0.6807,0.0241,0.6843,0.1,-0.1491
128,15547,7.88,189,1.8766,1.0865,0.329,A,0.574,0.9011,0.0,0.5707,0.1,-0.3042
129,15853,9.68,306,1.4402,1.7995,0.329,A,0.3817,0.8206,0.0,0.4379,0.1,-0.3497
130,16106,8.96,253,1.9229,1.0314,0.329,A,0.3206,0.8344,0.0011,0.6473,0.1,-0.3458
131,16378,10.59,272,1.119,0.7676,0.329,A,0.5761,0.6496,0.0979,0.5875,0.1,-0.3033
132,16719,10.18,341,1.0366,2.3888,0.333,A,0.333,0.7808,0.0,0.4875,0.1,-0.3783
133,16973,11.07,254,1.5735,1.4127,0.333,A,0.6087,0.8045,0.0,0.6815,0.1,-0.2677
