tier,episode,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
hard,28,2000,False,5445.04,74.8,0.3212,0.1217,0.22,0.2441,0.9861,1.9062,0.4102,0.4409,-0.2747,300000
hard,29,531,True,-97.61,12.2,1.042,0.01199,0.3485,0.1003,0.9312,0.0143,0.0173,0.3335,-0.1026,300000
hard,30,616,True,-32.45,28.2,0.8313,0.0331,0.3294,0.0832,0.865,0.0807,0.0573,0.2406,-0.0709,300000
easy,1,2000,False,8311.11,100.0,0.2423,0.09886,0.1222,0.1773,0.9988,2.7863,0.4453,0.4966,-0.0791,400000
easy,2,2000,False,8654.05,100.0,0.2656,0.16759,0.1406,0.0642,0.9913,2.6028,0.7842,0.4718,-0.01,400000
easy,3,2000,False,9590.62,100.0,0.2216,0.21806,0.0609,0.0333,0.9983,2.8812,0.9371,0.4926,-0.0136,400000
easy,4,2000,False,9060.92,100.0,0.2477,0.19261,0.1472,0.0772,0.993,2.708,0.8823,0.474,-0.0176,400000
easy,5,2000,False,9530.09,100.0,0.2439,0.24207,0.0494,0.0424,0.9974,2.8164,0.9726,0.4957,-0.016,400000
easy,6,2000,False,8778.04,100.0,0.2158,0.11257,0.1385,0.2213,0.9977,2.9938,0.5161,0.4906,-0.1139,400000
easy,7,2000,False,8717.22,100.0,0.1758,0.07291,0.2051,0.3566,0.9981,3.2812,0.3399,0.495,-0.267,400000
easy,8,2000,False,10152.67,100.0,0.1526,0.19763,0.1205,0.1553,0.9962,3.3877,0.7816,0.4933,-0.0801,400000
easy,9,2000,False,8995.3,100.0,0.2442,0.18919,0.0861,0.1142,0.998,2.7557,0.788,0.4923,-0.0364,400000
easy,10,2000,False,7476.5,100.0,0.3142,0.11518,0.0842,0.0981,0.9962,2.3199,0.5291,0.4705,-0.0774,400000
medium,11,2000,False,7620.99,100.0,0.357,0.169,0.0332,0.0292,0.9991,2.0415,0.7778,0.496,-0.0057,400000
medium,12,2000,False,7490.66,99.0,0.2893,0.18152,0.3034,0.4943,0.9916,2.5044,0.8037,0.4778,-0.5161,400000
medium,13,2000,False,6155.71,100.0,0.4685,0.21431,0.1287,0.1158,0.9861,1.2252,0.9273,0.4826,-0.0315,400000
medium,14,2000,False,5430.99,100.0,0.5725,0.15625,0.0663,0.0454,0.9942,1.0378,0.7267,0.4687,-0.0125,400000
medium,15,2000,False,6289.43,100.0,0.4491,0.18524,0.1722,0.1733,0.9912,1.5093,0.8112,0.4553,-0.1191,400000
medium,16,2000,False,1775.26,78.5,0.8862,0.05573,0.2021,0.1043,0.9514,0.0755,0.2175,0.3979,-0.0656,400000
medium,17,2000,False,4063.65,100.0,0.653,0.13797,0.076,0.0503,0.9963,0.4258,0.6368,0.4843,-0.0146,400000
medium,18,2000,False,7526.91,100.0,0.37,0.1835,0.075,0.0434,0.9958,1.9425,0.8494,0.4816,-0.006,400000
medium,19,2000,False,5903.58,100.0,0.4878,0.21341,0.1467,0.0857,0.9866,1.2164,0.8289,0.4517,-0.0249,400000
medium,20,2000,False,2414.0,69.4,0.6563,0.10379,0.1964,0.2335,0.987,0.4656,0.3383,0.4339,-0.2138,400000
hard,21,860,True,2738.46,88.7,0.3872,0.1573,0.1006,0.0684,0.965,1.7967,0.6507,0.4529,-0.0402,400000
hard,22,2000,False,2611.46,99.2,0.8638,0.06117,0.1062,0.1227,0.9942,0.1612,0.3069,0.4453,-0.0981,400000
hard,23,2000,False,3551.57,99.5,0.7258,0.12304,0.1035,0.0459,0.9953,0.2681,0.5778,0.4559,-0.0201,400000
hard,24,2000,False,4208.58,82.2,0.6176,0.14242,0.1225,0.1078,0.9906,0.8653,0.5347,0.4632,-0.0693,400000
hard,25,2000,False,4279.29,95.5,0.5892,0.10822,0.1094,0.1472,0.9966,0.8274,0.4811,0.4701,-0.0959,400000
hard,26,2000,False,5995.31,89.9,0.4534,0.14355,0.1361,0.1472,0.99,1.6947,0.5777,0.4669,-0.1355,400000
hard,27,2000,False,124.38,18.2,0.9937,0.0461,0.1623,0.0821,0.9811,0.0121,0.0455,0.4137,-0.0825,400000
hard,28,2000,False,5719.28,85.2,0.4717,0.18381,0.0489,0.03,0.998,1.3418,0.699,0.4825,-0.0161,400000
hard,29,1361,True,2037.82,77.1,0.6779,0.09624,0.1853,0.1368,0.9574,0.5844,0.361,0.4343,-0.0978,400000
hard,30,2000,False,8152.98,96.4,0.2796,0.15059,0.0799,0.085,0.9963,2.5266,0.6606,0.4774,-0.0492,400000
easy,1,2000,False,9332.88,100.0,0.1907,0.12834,0.1147,0.1251,0.9956,3.1349,0.5892,0.4904,-0.0418,500000
easy,2,2000,False,9702.77,100.0,0.1732,0.15256,0.1185,0.1299,0.9965,3.2609,0.7032,0.484,-0.0883,500000
easy,3,2000,False,8905.34,100.0,0.2029,0.15027,0.1798,0.2927,0.9964,3.0675,0.66,0.4915,-0.2631,500000
easy,4,2000,False,9843.67,100.0,0.1796,0.15324,0.0753,0.066,0.9975,3.2546,0.7024,0.4898,-0.0203,500000
easy,5,2000,False,9598.13,100.0,0.116,0.177,0.3088,0.5995,0.9974,3.6327,0.8233,0.4968,-0.6468,500000
easy,6,2000,False,9815.46,100.0,0.1791,0.15686,0.0718,0.0872,0.9979,3.2524,0.6887,0.4942,-0.0255,500000
easy,7,2000,False,8789.03,100.0,0.2135,0.12553,0.1428,0.142,0.992,2.9755,0.5129,0.4854,-0.0647,500000
easy,8,2000,False,10620.87,100.0,0.1491,0.1951,0.0643,0.1015,0.9989,3.4803,0.8876,0.497,-0.0532,500000
easy,9,2000,False,10881.88,100.0,0.1386,0.22388,0.0607,0.0551,0.9991,3.4827,0.9695,0.4979,-0.0094,500000
easy,10,2000,False,10534.81,100.0,0.1476,0.19572,0.0697,0.0923,0.9978,3.4357,0.8749,0.4949,-0.0345,500000
medium,11,2000,False,9075.91,100.0,0.2814,0.22598,0.1305,0.2312,0.9977,2.736,0.9529,0.4954,-0.1411,500000
medium,12,2000,False,2305.52,92.3,0.9616,0.07207,0.1959,0.0844,0.9832,0.0282,0.3336,0.4279,-0.0515,500000
medium,13,2000,False,8161.8,100.0,0.2521,0.21829,0.2674,0.4804,0.9962,2.7898,0.8503,0.485,-0.5341,500000
medium,14,2000,False,9917.4,100.0,0.1764,0.25794,0.1083,0.1768,0.9985,3.3239,0.8403,0.489,-0.1928,500000
medium,15,634,True,1752.03,99.4,0.4964,0.11212,0.1385,0.0631,0.9654,1.4415,0.5245,0.3726,-0.0195,500000
medium,16,2000,False,9140.78,98.7,0.255,0.1553,0.1034,0.1072,0.9968,2.9777,0.67,0.4854,-0.0484,500000
medium,17,1436,True,237.29,24.0,0.9879,0.02903,0.1227,0.0369,0.9698,0.0063,0.0461,0.411,-0.0172,500000
medium,18,2000,False,6534.63,100.0,0.4568,0.15565,0.0961,0.0648,0.9938,1.6354,0.694,0.4734,-0.0247,500000
medium,19,2000,False,6554.17,100.0,0.4143,0.17528,0.1426,0.2145,0.9979,1.705,0.7516,0.4908,-0.17,500000
medium,20,2000,False,4697.3,100.0,0.3208,0.08534,0.4708,0.8988,0.9945,2.3134,0.391,0.4807,-1.3339,500000
hard,21,2000,False,3924.47,80.5,0.532,0.06326,0.2194,0.2015,0.9732,1.132,0.2532,0.433,-0.1512,500000
hard,22,1527,True,2284.4,73.7,0.5369,0.12952,0.2697,0.3696,0.9716,0.9298,0.4233,0.3484,-0.419,500000
hard,23,1913,True,1597.06,46.9,0.779,0.12308,0.101,0.0391,0.979,0.214,0.2566,0.4275,-0.0162,500000
hard,24,2000,False,7695.19,95.8,0.2929,0.15996,0.2257,0.3857,0.9955,2.6632,0.6424,0.4827,-0.3932,500000
hard,25,2000,False,6458.15,93.2,0.392,0.10982,0.1998,0.3141,0.9961,2.1701,0.4452,0.4812,-0.2954,500000
hard,26,2000,False,3713.18,75.5,0.5606,0.02498,0.2507,0.2694,0.9817,1.2584,0.1347,0.4763,-0.2696,500000
hard,27,2000,False,1883.45,37.6,0.5972,0.12175,0.0972,0.0351,0.9911,0.4315,0.208,0.4432,-0.0104,500000
hard,28,2000,False,7444.37,93.7,0.3673,0.1818,0.1728,0.2603,0.9961,2.2646,0.7509,0.4833,-0.2086,500000
hard,29,924,True,-133.47,0.3,1.0851,0.01237,0.1315,0.0155,0.9463,0.0,0.0005,0.3958,-0.0062,500000
hard,30,2000,False,6034.63,90.4,0.4567,0.11273,0.1114,0.0754,0.9934,1.6717,0.4948,0.4811,-0.0316,500000
easy,1,2000,False,9465.99,100.0,0.1798,0.12552,0.1078,0.1307,0.9972,3.2116,0.5791,0.493,-0.0492,500001
easy,2,2000,False,9656.04,100.0,0.1747,0.15387,0.1291,0.1472,0.9963,3.2524,0.7093,0.4835,-0.1086,500001
easy,3,2000,False,8763.75,100.0,0.2089,0.14781,0.1912,0.3171,0.9962,3.0239,0.6475,0.4912,-0.2772,500001
