tier,episode,target_speed,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
fast,28,0.4,1463,True,229.39,24.0,0.871,0.11822,0.2338,0.0542,0.9424,0.063,0.1267,0.3021,-0.0298,200000
fast,29,0.4,1521,True,277.38,25.1,0.8331,0.12743,0.2435,0.0479,0.9359,0.0826,0.1404,0.2821,-0.0225,200000
fast,30,0.4,593,True,181.81,29.5,0.8906,0.09946,0.1934,0.0356,0.9619,0.0508,0.1345,0.3787,-0.01,200000
slow,1,0.1,990,True,-202.4,0.0,0.0,0.0,0.1506,0.1349,0.9842,0.0,0.0,0.4282,-0.1248,750001
slow,2,0.1,47,True,-20.14,0.0,0.0,0.0,0.2959,0.0543,0.7905,0.0,0.0,0.4188,-0.0299,750001
slow,3,0.1,16,True,-2.07,81.2,1.0661,0.02982,0.6928,0.1238,0.4448,0.0106,0.1533,0.4501,-0.1107,750001
slow,4,0.1,1426,True,1793.91,60.4,0.6424,0.20448,0.1947,0.1503,0.9785,0.4675,0.4898,0.3538,-0.1217,750001
slow,5,0.1,990,True,-181.62,0.0,0.0,0.0,0.1451,0.12,0.9818,0.0,0.0,0.427,-0.1014,750001
slow,6,0.1,121,True,-23.31,2.5,0.7408,0.0638,0.1943,0.025,0.9075,0.008,0.0075,0.423,-0.0116,750001
slow,7,0.1,173,True,115.14,90.8,1.2366,0.0257,0.2663,0.2095,0.891,0.018,0.1717,0.3717,-0.1458,750001
slow,8,0.1,645,True,1614.62,94.7,0.6122,0.20923,0.2429,0.0838,0.9608,1.0636,0.7478,0.3453,-0.0406,750001
slow,9,0.1,110,True,-24.74,0.0,0.0,0.0,0.1926,0.0282,0.9055,0.0,0.0,0.4272,-0.0139,750001
slow,10,0.1,990,True,-174.31,0.0,0.0,0.0,0.1353,0.1148,0.9853,0.0,0.0,0.4307,-0.0995,750001
medium,11,0.25,30,True,-20.93,0.0,0.0,0.0,0.4846,0.104,0.6734,0.0,0.0,0.3705,-0.0715,750001
medium,12,0.25,28,True,8.84,85.7,0.857,0.0824,0.5038,0.1097,0.5592,0.0525,0.3311,0.3206,-0.0594,750001
medium,13,0.25,14,True,-4.39,78.6,1.0073,0.05984,0.7321,0.0872,0.3678,0.0076,0.2322,0.3985,-0.0984,750001
