episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_speed,target_offset,init_pos,init_vel,init_ang
66,6146,-203.39,107,0.0,0.0,0.0,0.5017,0.6867,0.5908,0.0,0.0,0.2731,-0.835,A,0.0902,0.205,0.203,0.101,0.031
67,6235,-100.1,89,78.7,0.8292,0.1252,0.5183,0.6991,0.4264,0.0774,0.4524,0.1696,-0.8716,A,0.0648,0.206,0.203,0.101,0.031
68,6283,-129.96,48,0.0,0.0,0.0,0.5068,0.6803,0.4395,0.0,0.0,0.3211,-0.8095,A,0.0763,0.206,0.203,0.101,0.031
69,6480,-360.53,197,12.7,0.7416,0.072,0.5186,0.6983,0.2676,0.1001,0.0439,0.091,-0.8669,A,0.0833,0.206,0.203,0.101,0.031
70,6566,-178.07,86,0.0,0.0,0.0,0.4856,0.6372,0.4112,0.0,0.0,0.2331,-0.7152,A,0.088,0.206,0.203,0.101,0.031
71,6663,-134.17,97,28.9,0.7194,0.1003,0.495,0.6327,0.6361,0.2386,0.1379,0.3675,-0.7239,A,0.0615,0.206,0.203,0.101,0.031
72,6730,-130.95,67,29.9,0.9421,0.0612,0.503,0.6879,0.5587,0.0193,0.0899,0.2878,-0.8189,A,0.0952,0.206,0.203,0.101,0.031
73,6806,-146.7,76,22.4,1.047,0.045,0.489,0.6328,0.386,0.0013,0.0536,0.2199,-0.7193,A,0.0639,0.206,0.203,0.102,0.031
74,6891,-170.62,85,0.0,0.0,0.0,0.4759,0.6483,0.5597,0.0,0.0,0.2609,-0.7443,A,0.0775,0.206,0.203,0.102,0.031
75,7046,-252.33,155,20.0,1.0162,0.0184,0.486,0.6364,0.3589,0.003,0.0314,0.164,-0.74,A,0.0651,0.206,0.203,0.102,0.031
76,7145,-222.1,99,0.0,0.0,0.0,0.492,0.7128,0.3083,0.0,0.0,0.1582,-0.8685,A,0.0774,0.206,0.203,0.102,0.031
77,7224,-152.5,79,0.0,0.0,0.0,0.4885,0.6745,0.6694,0.0,0.0,0.3904,-0.7892,A,0.0765,0.206,0.203,0.102,0.031
78,7364,-283.38,140,3.6,1.3403,0.0057,0.5185,0.674,0.2342,0.0,0.0045,0.1054,-0.8066,A,0.0908,0.207,0.203,0.102,0.031
79,7449,-138.76,85,48.2,0.7122,0.0682,0.4871,0.6839,0.4392,0.3309,0.1568,0.203,-0.8062,A,0.0711,0.207,0.203,0.102,0.031
80,7561,-163.22,112,41.1,0.7407,0.0728,0.5085,0.6769,0.4785,0.1876,0.1421,0.2913,-0.8299,A,0.0784,0.207,0.203,0.102,0.031
81,7620,-109.91,59,54.2,1.0161,0.0485,0.4976,0.6653,0.4712,0.0112,0.135,0.257,-0.7805,A,0.0659,0.207,0.203,0.102,0.031
82,7681,-143.63,61,0.0,0.0,0.0,0.4906,0.6642,0.5418,0.0,0.0,0.3076,-0.8053,A,0.0759,0.207,0.203,0.102,0.031
83,7859,-256.58,178,30.9,1.0185,0.0343,0.4862,0.6357,0.2942,0.0121,0.0654,0.1339,-0.7228,A,0.0929,0.207,0.203,0.102,0.031
