episode,timestep,reward,steps,mean_pos_error,mean_alt_error,omega_scale,phase,r_tracking,r_velocity,r_altitude,r_stability,r_progress,r_off_track
118,13057,10.1,290,1.3012,1.223,0.325,A,0.3807,0.7174,0.0005,0.6039,0.1,-0.3586
119,13397,10.79,340,0.7232,1.3689,0.325,A,0.4487,0.4402,0.0003,0.6588,0.1,-0.3353
120,13738,15.76,341,0.5636,0.9037,0.325,A,0.945,0.4683,0.0242,0.6032,0.1,-0.2067
121,14070,10.67,332,0.4982,1.3462,0.325,A,0.4064,0.5259,0.0004,0.6799,0.1,-0.2877
122,14292,7.06,222,1.8843,1.0942,0.325,A,0.4223,0.7042,0.0009,0.5413,0.1,-0.3446
123,14495,4.91,203,1.188,0.7468,0.329,A,0.4604,0.2792,0.0046,0.5863,0.1,-0.335
124,14751,10.19,256,0.6234,0.772,0.329,A,0.593,0.6487,0.0217,0.6571,0.1,-0.2637
125,15059,10.44,308,0.6614,1.3205,0.329,A,0.5309,0.329,0.0003,0.6911,0.1,-0.1429
126,15319,9.68,260,0.8229,0.7343,0.329,A,0.4782,0.5889,0.0155,0.7045,0.1,-0.2212
127,15612,8.06,293,1.882,1.0575,0.329,A,0.2637,0.7247,0.0479,0.4926,0.1,-0.3959
128,15864,7.29,252,0.6663,1.063,0.329,A,0.4243,0.4987,0.0016,0.5473,0.1,-0.2778
129,16246,13.13,382,0.5887,1.466,0.329,A,0.6353,0.3281,0.0001,0.6641,0.1,-0.2081
130,16558,8.85,312,0.6128,1.4484,0.333,A,0.4567,0.4679,0.0004,0.4941,0.1,-0.2324
131,16881,10.57,323,0.4744,1.2666,0.333,A,0.491,0.5687,0.0006,0.5066,0.1,-0.1889
132,17175,15.23,294,1.1808,0.3255,0.333,A,0.693,0.6319,0.5001,0.6846,0.1,-0.2602
133,17536,10.07,361,0.58,1.2984,0.333,A,0.3666,0.5477,0.0093,0.5929,0.1,-0.3144
134,17782,12.18,246,0.5057,0.6659,0.333,A,0.9895,0.6036,0.0548,0.6971,0.1,-0.1443
135,18048,6.86,266,0.9838,1.2275,0.333,A,0.4433,0.333,0.0002,0.6551,0.1,-0.3008
136,18424,19.08,376,0.8894,0.4388,0.333,A,0.8803,0.623,0.3781,0.6212,0.1,-0.1981
137,18738,15.78,314,0.6839,0.4139,0.337,A,0.8998,0.6785,0.3218,0.6784,0.1,-0.1688
138,19023,11.41,285,0.4082,1.3941,0.337,A,0.9898,0.4554,0.0003,0.6567,0.1,-0.1298
139,19310,9.41,287,1.0873,0.5051,0.337,A,0.4207,0.6377,0.3752,0.5334,0.1,-0.3467
140,19597,11.16,287,0.9661,0.6201,0.337,A,0.7624,0.6436,0.1101,0.6446,0.1,-0.2282
141,19850,7.52,253,0.5381,1.2217,0.337,A,0.621,0.4999,0.0004,0.5496,0.1,-0.1996
142,20117,9.41,267,0.4834,0.8089,0.337,A,0.7977,0.5228,0.0116,0.5603,0.1,-0.1404
143,20504,11.49,387,0.6062,1.4224,0.341,A,0.4325,0.6111,0.0003,0.5994,0.1,-0.1886
144,20887,17.19,383,1.0021,0.5567,0.341,A,0.9153,0.6288,0.2303,0.7109,0.1,-0.2272
145,21225,14.01,338,1.145,0.4372,0.341,A,0.6272,0.7041,0.2862,0.8077,0.1,-0.2766
146,21516,7.97,291,0.6639,0.6879,0.341,A,0.4615,0.5216,0.0947,0.526,0.1,-0.1873
147,21933,14.2,417,1.0261,0.7791,0.341,A,0.32,0.7027,0.4335,0.6223,0.1,-0.3153
148,22375,12.87,442,1.7462,1.3812,0.341,A,0.4684,0.7191,0.1111,0.5542,0.1,-0.3507
149,22703,12.62,328,0.756,0.5399,0.345,A,0.6919,0.5881,0.3696,0.5764,0.1,-0.2043
