episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_alive_sum,r_track_sum,r_invis_sum,r_jerk_sum,phase,alpha,target_speed,jitter_xy,term_reason
122,8695,-63.45,100,0.0,0,0.5076,0.6017,50.0,0.0,-5.0,-88.448,A,0.287,0.0,0.081,lost_target
123,8795,-68.9,100,0.0,0,0.5082,0.6247,50.0,0.0,-5.0,-93.902,A,0.288,0.0,0.081,lost_target
124,8895,-64.96,100,0.0,0,0.5099,0.6191,50.0,0.0,-5.0,-89.961,A,0.289,0.0,0.082,lost_target
125,8995,-65.3,100,0.0,0,0.5256,0.6055,50.0,0.0,-5.0,-90.302,A,0.29,0.0,0.082,lost_target
126,9095,-56.98,100,0.0,0,0.508,0.5926,50.0,0.0,-5.0,-81.981,A,0.291,0.0,0.082,lost_target
127,9195,-60.89,100,0.0,0,0.5104,0.5837,50.0,0.0,-5.0,-85.894,A,0.292,0.0,0.083,lost_target
128,9295,-57.12,100,0.0,0,0.4738,0.5774,50.0,0.0,-5.0,-82.123,A,0.293,0.0,0.083,lost_target
129,9395,-58.15,100,0.0,0,0.5172,0.5618,50.0,0.0,-5.0,-83.145,A,0.294,0.0,0.084,lost_target
130,9495,-52.21,100,0.0,0,0.5095,0.5508,50.0,0.0,-5.0,-77.214,A,0.295,0.0,0.084,lost_target
131,9595,-50.51,100,0.0,0,0.4843,0.556,50.0,0.0,-5.0,-75.511,A,0.296,0.0,0.084,lost_target
132,9695,-72.92,100,0.0,0,0.5053,0.6512,50.0,0.0,-5.0,-97.916,A,0.297,0.0,0.085,lost_target
133,9795,-55.63,100,0.0,0,0.5157,0.5687,50.0,0.0,-5.0,-80.626,A,0.298,0.0,0.085,lost_target
134,9895,-55.49,100,0.0,0,0.5049,0.5675,50.0,0.0,-5.0,-80.492,A,0.299,0.0,0.085,lost_target
135,9995,-57.03,100,0.0,0,0.4989,0.5699,50.0,0.0,-5.0,-82.034,A,0.3,0.0,0.086,lost_target
136,10100,-42.26,105,0.0,0,0.5392,0.5045,52.5,0.0,-5.25,-69.51,A,0.301,0.0,0.086,lost_target
137,10200,-58.38,100,0.0,0,0.5015,0.5716,50.0,0.0,-5.0,-83.379,A,0.302,0.0,0.086,lost_target
138,10300,-64.78,100,0.0,0,0.4852,0.6257,50.0,0.0,-5.0,-89.776,A,0.303,0.0,0.087,lost_target
139,10400,-57.9,100,0.0,0,0.5064,0.5787,50.0,0.0,-5.0,-82.898,A,0.304,0.0,0.087,lost_target
140,10500,-47.8,100,0.0,0,0.5028,0.5429,50.0,0.0,-5.0,-72.796,A,0.305,0.0,0.087,lost_target
141,10600,-41.83,100,0.0,0,0.526,0.5162,50.0,0.0,-5.0,-66.833,A,0.306,0.0,0.088,lost_target
142,10700,-60.78,100,0.0,0,0.4875,0.6078,50.0,0.0,-5.0,-85.781,A,0.307,0.0,0.088,lost_target
143,10800,-50.76,100,0.0,0,0.4843,0.5572,50.0,0.0,-5.0,-75.76,A,0.308,0.0,0.089,lost_target
144,10900,-59.02,100,0.0,0,0.478,0.6001,50.0,0.0,-5.0,-84.023,A,0.309,0.0,0.089,lost_target
145,11000,-59.18,100,0.0,0,0.5411,0.572,50.0,0.0,-5.0,-84.184,A,0.31,0.0,0.089,lost_target
146,11092,-34.89,92,0.0,0,0.4745,0.5819,46.0,0.0,-4.6,-76.289,A,0.311,0.0,0.09,
147,11192,-56.74,100,0.0,0,0.4914,0.5684,50.0,0.0,-5.0,-81.742,A,0.312,0.0,0.09,lost_target
148,11292,-49.86,100,0.0,0,0.4929,0.5582,50.0,0.0,-5.0,-74.864,A,0.313,0.0,0.09,lost_target
149,11390,-40.56,98,0.0,0,0.5137,0.5911,49.0,0.0,-4.9,-84.663,A,0.314,0.0,0.091,
150,11490,-54.23,100,0.0,0,0.5044,0.5608,50.0,0.0,-5.0,-79.227,A,0.315,0.0,0.091,lost_target
151,11590,-47.58,100,0.0,0,0.496,0.5468,50.0,0.0,-5.0,-72.581,A,0.316,0.0,0.091,lost_target
152,11690,-58.65,100,0.0,0,0.4927,0.5936,50.0,0.0,-5.0,-83.651,A,0.317,0.0,0.092,lost_target
153,11790,-60.12,100,0.0,0,0.5058,0.5881,50.0,0.0,-5.0,-85.116,A,0.318,0.0,0.092,lost_target
154,11890,-41.4,100,0.0,0,0.493,0.5164,50.0,0.0,-5.0,-66.401,A,0.319,0.0,0.092,lost_target
155,11990,-48.4,100,0.0,0,0.5242,0.5239,50.0,0.0,-5.0,-73.397,A,0.32,0.0,0.093,lost_target
156,12090,-49.07,100,0.0,0,0.466,0.5433,50.0,0.0,-5.0,-74.065,A,0.321,0.0,0.093,lost_target
157,12190,-49.91,100,0.0,0,0.5427,0.5268,50.0,0.0,-5.0,-74.915,A,0.322,0.0,0.094,lost_target
158,12290,-46.12,100,0.0,0,0.478,0.5371,50.0,0.0,-5.0,-71.124,A,0.323,0.0,0.094,lost_target
159,12390,-53.24,100,0.0,0,0.4991,0.5668,50.0,0.0,-5.0,-78.24,A,0.324,0.0,0.094,lost_target
160,12490,-52.08,100,0.0,0,0.4933,0.5547,50.0,0.0,-5.0,-77.078,A,0.325,0.0,0.095,lost_target
