tier,episode,target_speed,steps,terminated_early,total_reward,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,mean_r_stability,mean_r_centering,mean_r_scale,mean_r_vel_damp,mean_r_smooth,checkpoint
medium,9,0.25,293,True,301.84,72.0,0.8096,0.14308,0.3167,0.1358,0.9479,0.3156,0.4063,0.3037,-0.1197,750000
medium,10,0.25,1034,True,-68.36,12.1,0.9692,0.09348,0.1641,0.1297,0.9714,0.0024,0.0533,0.3948,-0.1105,750000
fast,11,0.4,26,True,-20.46,0.0,0.0,0.0,0.5981,0.0984,0.625,0.0,0.0,0.3426,-0.0576,750000
fast,12,0.4,20,True,-2.78,85.0,0.9202,0.06129,0.5974,0.1143,0.4024,0.0278,0.2538,0.2424,-0.0881,750000
fast,13,0.4,14,True,-5.78,78.6,1.0161,0.05717,0.7509,0.0747,0.3417,0.007,0.2234,0.3493,-0.121,750000
fast,14,0.4,76,True,-16.6,6.6,1.021,0.03457,0.2796,0.0353,0.8668,0.0009,0.0139,0.4394,-0.0261,750000
fast,15,0.4,15,True,-2.85,80.0,0.6859,0.16056,0.7487,0.1063,0.3362,0.2691,0.5739,0.1992,-0.1412,750000
slow,1,0.1,990,True,-202.4,0.0,0.0,0.0,0.1506,0.1349,0.9842,0.0,0.0,0.4282,-0.1248,750001
slow,2,0.1,47,True,-20.14,0.0,0.0,0.0,0.2959,0.0543,0.7905,0.0,0.0,0.4188,-0.0299,750001
slow,3,0.1,16,True,-2.07,81.2,1.0661,0.02982,0.6928,0.1238,0.4448,0.0106,0.1533,0.4501,-0.1107,750001
slow,4,0.1,1426,True,1793.91,60.4,0.6424,0.20448,0.1947,0.1503,0.9785,0.4675,0.4898,0.3538,-0.1217,750001
slow,5,0.1,990,True,-181.62,0.0,0.0,0.0,0.1451,0.12,0.9818,0.0,0.0,0.427,-0.1014,750001
medium,6,0.25,121,True,-21.58,3.3,0.8649,0.06006,0.1818,0.0253,0.9164,0.0108,0.0097,0.4257,-0.0129,750001
medium,7,0.25,495,True,1059.21,96.8,0.6446,0.19224,0.217,0.0673,0.9427,0.8449,0.6801,0.2656,-0.018,750001
medium,8,0.25,577,True,1133.19,99.5,0.6684,0.21807,0.2402,0.1804,0.9611,0.5775,0.8324,0.2866,-0.1652,750001
medium,9,0.25,280,True,290.1,71.8,0.8054,0.14863,0.316,0.1418,0.9478,0.3256,0.4185,0.3146,-0.1437,750001
medium,10,0.25,1037,True,-64.16,12.1,0.9181,0.11718,0.1622,0.142,0.9727,0.0041,0.0662,0.3966,-0.1226,750001
fast,11,0.4,26,True,-20.54,0.0,0.0,0.0,0.601,0.099,0.6183,0.0,0.0,0.3439,-0.0585,750001
fast,12,0.4,20,True,-2.66,85.0,0.9199,0.06118,0.5946,0.1131,0.4084,0.0273,0.2532,0.2448,-0.0883,750001
fast,13,0.4,14,True,-5.79,78.6,1.0161,0.05717,0.7516,0.0744,0.3415,0.007,0.2234,0.3494,-0.1212,750001
fast,14,0.4,75,True,-16.16,6.7,1.0496,0.02793,0.2773,0.0356,0.8729,0.001,0.0125,0.4399,-0.0263,750001
fast,15,0.4,15,True,-2.85,80.0,0.6861,0.16073,0.7489,0.1063,0.3359,0.2699,0.5742,0.1992,-0.1417,750001
