episode,timestep,reward,steps,visibility_pct,mean_centering_dist,mean_fraction,mean_action_mag,mean_action_jerk,r_stability,r_centering,r_scale,r_vel_damp,r_smooth,phase,target_offset,init_pos,init_vel,init_ang
65,5988,-13.06,162,64.2,0.6773,0.1542,0.5007,0.6842,0.6802,0.2125,0.4437,0.2198,-0.8292,B,0.307,0.305,0.152,0.051
66,6160,14.09,172,65.7,0.6661,0.2003,0.4977,0.6775,0.6628,0.3694,0.5074,0.1603,-0.8187,B,0.307,0.305,0.152,0.051
67,6305,50.66,145,52.4,0.464,0.1834,0.5198,0.6927,0.633,0.811,0.4215,0.3007,-0.8623,B,0.308,0.305,0.153,0.051
68,6378,-32.7,73,52.1,0.7471,0.1989,0.5253,0.7015,0.5552,0.1548,0.4095,0.2505,-0.8669,B,0.308,0.305,0.153,0.051
69,6558,-110.48,180,45.6,0.5905,0.175,0.5066,0.6788,0.4943,0.3971,0.3237,0.0868,-0.8159,B,0.308,0.305,0.153,0.051
70,6650,28.02,92,67.4,0.686,0.207,0.4777,0.6291,0.6228,0.3081,0.5678,0.3075,-0.697,B,0.308,0.305,0.153,0.051
71,6797,-85.46,147,54.4,0.8318,0.1407,0.5042,0.6611,0.5143,0.1198,0.3423,0.1221,-0.7807,B,0.308,0.305,0.153,0.051
72,6889,28.77,92,68.5,0.5574,0.2319,0.4748,0.6471,0.5137,0.6226,0.6116,0.206,-0.7418,B,0.308,0.306,0.153,0.051
73,6973,-38.26,84,46.4,0.6741,0.1529,0.4847,0.6359,0.485,0.2717,0.293,0.1868,-0.7379,B,0.308,0.306,0.153,0.051
74,7062,3.6,89,59.6,0.6833,0.191,0.4867,0.6593,0.6011,0.2338,0.4988,0.3487,-0.7728,B,0.308,0.306,0.153,0.051
75,7219,-28.41,157,61.8,0.6594,0.1885,0.4932,0.6858,0.4594,0.3942,0.4797,0.2287,-0.8209,B,0.309,0.306,0.153,0.051
76,7371,-101.52,152,30.3,0.5151,0.2249,0.5148,0.6727,0.3834,0.406,0.2365,0.1477,-0.8047,B,0.309,0.306,0.153,0.051
77,7488,56.48,117,88.0,0.6645,0.1899,0.4891,0.6793,0.5809,0.4868,0.6644,0.2357,-0.8073,B,0.309,0.306,0.153,0.051
78,7608,-14.36,120,70.0,0.7734,0.1494,0.507,0.6798,0.5125,0.3464,0.4127,0.203,-0.8368,B,0.309,0.306,0.153,0.052
79,7665,-13.44,57,45.6,0.6187,0.1748,0.4827,0.6242,0.3868,0.5596,0.3198,0.2437,-0.7227,B,0.309,0.306,0.153,0.052
80,7850,-192.04,185,21.6,0.6554,0.1672,0.4875,0.6515,0.3527,0.1217,0.1518,0.1149,-0.7518,B,0.309,0.306,0.153,0.052
81,7917,-63.42,67,31.3,0.9289,0.0992,0.5106,0.6753,0.4772,0.0113,0.1504,0.2976,-0.8037,B,0.309,0.306,0.153,0.052
82,8034,-74.53,117,53.0,0.6992,0.1416,0.4914,0.6786,0.4156,0.1621,0.3412,0.1929,-0.8018,B,0.31,0.306,0.153,0.052
83,8140,74.2,106,87.7,0.534,0.2264,0.5246,0.6875,0.5907,0.93,0.7555,0.2433,-0.8413,B,0.31,0.307,0.153,0.052
84,8202,-39.89,62,40.3,0.6926,0.1939,0.4818,0.6779,0.4214,0.1547,0.3197,0.2786,-0.7838,B,0.31,0.307,0.153,0.052
85,8334,-46.79,132,65.9,0.7788,0.1174,0.5017,0.6727,0.5505,0.1116,0.366,0.1919,-0.8048,B,0.31,0.307,0.153,0.052
86,8384,-42.31,50,36.0,0.8945,0.1605,0.4944,0.6501,0.4271,0.0446,0.2457,0.2707,-0.7426,B,0.31,0.307,0.153,0.052
87,8487,10.84,103,54.4,0.542,0.2019,0.4973,0.6757,0.5658,0.5421,0.457,0.2706,-0.8243,B,0.31,0.307,0.153,0.052
88,8605,-28.12,118,66.9,0.6704,0.1675,0.5016,0.6545,0.4491,0.481,0.4585,0.1567,-0.7789,B,0.31,0.307,0.153,0.052
89,8803,-181.26,198,39.9,0.8632,0.0913,0.497,0.696,0.4901,0.0333,0.1854,0.165,-0.8624,B,0.311,0.307,0.154,0.052
90,8948,-112.35,145,47.6,0.8017,0.1343,0.5118,0.6864,0.3928,0.1844,0.273,0.1084,-0.8353,B,0.311,0.307,0.154,0.052
91,9023,-32.26,75,38.7,0.4928,0.2286,0.4861,0.6222,0.3463,0.5017,0.3305,0.1955,-0.6975,B,0.311,0.307,0.154,0.052
92,9101,-9.47,78,52.6,0.5647,0.2061,0.4962,0.6776,0.4704,0.5124,0.4451,0.2437,-0.8264,B,0.311,0.307,0.154,0.052
93,9180,-40.36,79,69.6,0.9599,0.0835,0.4885,0.6651,0.5134,0.0129,0.2845,0.2319,-0.7895,B,0.311,0.307,0.154,0.052
94,9291,-135.16,111,18.0,0.8329,0.1401,0.5052,0.6533,0.3757,0.0162,0.1128,0.1483,-0.7604,B,0.311,0.307,0.154,0.052
95,9353,-4.36,62,41.9,0.4658,0.2126,0.4913,0.5845,0.4534,0.5951,0.355,0.2527,-0.6176,B,0.311,0.307,0.154,0.052
96,9452,-9.54,99,67.7,0.8043,0.128,0.5104,0.6859,0.3991,0.5381,0.3333,0.174,-0.8069,B,0.311,0.308,0.154,0.052
97,9518,35.48,66,65.2,0.5011,0.2343,0.5109,0.6748,0.5383,0.9369,0.5528,0.2924,-0.8213,B,0.311,0.308,0.154,0.052
98,9563,32.31,45,64.4,0.5232,0.2164,0.499,0.6351,0.4782,1.0415,0.5264,0.3617,-0.6942,B,0.311,0.308,0.154,0.052
99,9725,-123.89,162,45.1,0.7191,0.1406,0.5238,0.6838,0.3642,0.1331,0.2632,0.1455,-0.8313,B,0.312,0.308,0.154,0.052
100,9893,-48.73,168,41.7,0.5085,0.2224,0.4912,0.6631,0.4122,0.4743,0.376,0.1542,-0.7758,B,0.312,0.308,0.154,0.052
101,9954,-5.62,61,62.3,0.6367,0.1984,0.5139,0.6743,0.5464,0.2913,0.5428,0.2952,-0.8343,B,0.312,0.308,0.154,0.052
102,10048,-32.39,94,41.5,0.6072,0.165,0.5939,0.4736,0.3339,0.3927,0.2912,0.1767,-0.5452,B,0.312,0.308,0.154,0.052
103,13048,9519.32,3000,100.0,0.3562,0.1944,0.3845,0.5828,0.994,1.9279,0.8661,0.4933,-0.6065,B,0.316,0.31,0.155,0.053
104,16048,4893.96,3000,70.8,0.4476,0.1201,0.3851,0.4965,0.97,1.0767,0.3785,0.452,-0.4605,B,0.319,0.313,0.156,0.053
105,17243,142.08,1195,20.6,0.4213,0.1084,0.3803,0.499,0.9503,0.4209,0.0947,0.4211,-0.4866,B,0.321,0.314,0.157,0.053
106,17906,-103.88,663,24.6,0.6836,0.0746,0.3936,0.4864,0.9198,0.1576,0.0873,0.3576,-0.4501,B,0.321,0.314,0.157,0.054
107,18133,95.6,227,70.9,0.712,0.0905,0.5597,0.4239,0.6927,0.3688,0.2726,0.2552,-0.4138,B,0.322,0.315,0.157,0.054
108,18606,104.48,473,41.0,0.5816,0.1319,0.4208,0.5341,0.8712,0.4492,0.2337,0.2586,-0.5368,B,0.322,0.315,0.157,0.054
109,19401,264.98,795,51.2,0.7328,0.1346,0.4253,0.516,0.9034,0.2552,0.308,0.3684,-0.5057,B,0.323,0.316,0.158,0.054
110,19935,228.93,534,36.3,0.4665,0.0924,0.4083,0.5154,0.907,0.629,0.1493,0.3651,-0.4985,B,0.324,0.316,0.158,0.054
111,22935,4631.51,3000,93.2,0.6385,0.1419,0.4703,0.482,0.8813,0.7613,0.5886,0.3598,-0.458,B,0.328,0.318,0.159,0.055
112,23737,916.15,802,72.9,0.4924,0.0852,0.4651,0.5254,0.8461,0.9708,0.2861,0.3443,-0.541,B,0.328,0.319,0.159,0.055
113,25367,1121.8,1630,68.9,0.7204,0.0907,0.4391,0.4964,0.8823,0.4926,0.3022,0.2917,-0.4796,B,0.33,0.32,0.16,0.055
114,26332,774.12,965,60.9,0.5465,0.1417,0.4545,0.5502,0.8714,0.6892,0.3739,0.3013,-0.5651,B,0.332,0.321,0.161,0.055
115,27078,636.12,746,60.6,0.6143,0.0917,0.4132,0.5055,0.8714,0.7793,0.2519,0.2867,-0.488,B,0.332,0.322,0.161,0.055
116,30078,10955.72,3000,100.0,0.2987,0.2095,0.3739,0.5981,0.9917,2.3845,0.9235,0.4921,-0.6326,B,0.336,0.324,0.162,0.056
117,30384,34.58,306,40.8,0.6458,0.1161,0.4864,0.4609,0.7605,0.4971,0.2158,0.1165,-0.4297,B,0.336,0.324,0.162,0.056
118,31272,1495.17,888,78.8,0.4761,0.136,0.3956,0.5162,0.9255,1.128,0.4872,0.3389,-0.4883,B,0.338,0.325,0.163,0.056
119,31454,25.53,182,64.8,0.7905,0.146,0.4325,0.5152,0.633,0.2711,0.4423,0.1,-0.4934,B,0.338,0.325,0.163,0.056
120,31640,-84.99,186,43.0,0.8828,0.1211,0.472,0.4343,0.5102,0.0523,0.2435,0.0732,-0.3886,B,0.338,0.325,0.163,0.056
121,31985,379.59,345,82.0,0.7,0.1584,0.3968,0.4971,0.8039,0.6313,0.5376,0.2454,-0.4642,B,0.338,0.326,0.163,0.056
122,32279,171.4,294,62.6,0.6508,0.1586,0.4004,0.4746,0.7744,0.5497,0.3866,0.1821,-0.4362,B,0.339,0.326,0.163,0.056
123,32523,-88.93,244,39.8,0.7553,0.1225,0.4063,0.4489,0.6784,0.1167,0.2262,0.0863,-0.3846,B,0.339,0.326,0.163,0.057
124,32725,-11.37,202,66.3,0.9159,0.1111,0.3779,0.4877,0.7203,0.0324,0.3425,0.116,-0.426,B,0.339,0.326,0.163,0.057
125,35725,8351.16,3000,100.0,0.4108,0.1811,0.3371,0.5416,0.9968,1.4667,0.8409,0.4983,-0.5193,B,0.343,0.329,0.164,0.057
126,36682,2630.15,957,93.9,0.4238,0.1842,0.4286,0.5831,0.9262,1.8202,0.7827,0.3965,-0.6242,B,0.344,0.329,0.165,0.057
127,36918,-52.07,236,43.2,0.7889,0.1674,0.4423,0.4861,0.6508,0.087,0.3214,0.1447,-0.4653,B,0.344,0.33,0.165,0.057
128,37042,-34.49,124,71.8,0.9151,0.0958,0.4702,0.4223,0.3706,0.0305,0.3302,0.0977,-0.3657,B,0.344,0.33,0.165,0.057
129,37196,50.58,154,70.1,0.7514,0.1692,0.4685,0.4242,0.6225,0.2627,0.5025,0.156,-0.3722,B,0.345,0.33,0.165,0.057
130,39750,8829.88,2554,96.8,0.3117,0.2338,0.3902,0.5911,0.9644,2.3782,0.8255,0.455,-0.6264,B,0.348,0.332,0.166,0.058
131,40857,2694.93,1107,88.3,0.3842,0.1782,0.4235,0.5637,0.9098,1.6867,0.6512,0.4033,-0.586,B,0.349,0.333,0.166,0.058
132,41997,2693.63,1140,89.3,0.4304,0.1897,0.3991,0.5706,0.9325,1.5633,0.6358,0.4313,-0.5937,B,0.35,0.334,0.167,0.058
133,44997,10420.39,3000,100.0,0.318,0.2451,0.3914,0.6186,0.9951,2.2093,0.9493,0.4955,-0.671,B,0.354,0.336,0.168,0.059
134,46046,2969.5,1049,90.3,0.3361,0.1578,0.431,0.5611,0.9152,2.0944,0.6184,0.4172,-0.5834,B,0.355,0.337,0.168,0.059
135,47107,1608.0,1061,87.1,0.5951,0.1566,0.4499,0.5338,0.8913,0.7598,0.6117,0.428,-0.5474,B,0.357,0.338,0.169,0.059
136,47849,1212.51,742,85.8,0.4806,0.0978,0.4103,0.514,0.8845,1.1035,0.3871,0.3996,-0.4974,B,0.357,0.338,0.169,0.06
137,48196,371.93,347,59.7,0.391,0.1063,0.4741,0.4771,0.7527,1.0973,0.2929,0.2576,-0.4436,B,0.358,0.339,0.169,0.06
138,48577,455.37,381,78.0,0.5925,0.2053,0.4823,0.5187,0.8219,0.7193,0.6369,0.3114,-0.5208,B,0.358,0.339,0.169,0.06
139,49058,404.47,481,80.9,0.7038,0.1503,0.4621,0.5674,0.8724,0.4414,0.5124,0.3194,-0.61,B,0.359,0.339,0.17,0.06
140,50242,2828.6,1184,90.4,0.4411,0.1685,0.3948,0.5601,0.9221,1.5058,0.7015,0.4246,-0.5714,B,0.36,0.34,0.17,0.06
141,51570,888.08,1328,89.2,0.6896,0.0848,0.4468,0.654,0.9514,0.277,0.367,0.427,-0.7675,B,0.362,0.341,0.171,0.06
142,54570,9661.53,3000,100.0,0.342,0.2312,0.421,0.662,0.986,2.139,0.8885,0.4837,-0.7647,B,0.365,0.344,0.172,0.061
143,55958,1269.4,1388,79.2,0.6949,0.1721,0.4439,0.5391,0.9089,0.2444,0.6076,0.3873,-0.549,B,0.367,0.345,0.172,0.061
144,58958,8095.36,3000,94.2,0.3786,0.1596,0.442,0.6071,0.9706,1.8879,0.6407,0.4347,-0.6649,B,0.371,0.347,0.174,0.062
145,61958,11763.06,3000,100.0,0.1485,0.0829,0.4263,0.7322,0.9948,3.4486,0.3833,0.4919,-0.9047,B,0.374,0.35,0.175,0.062
146,64739,9141.12,2781,88.0,0.1775,0.0586,0.3898,0.6136,0.9875,2.8497,0.2555,0.4532,-0.6614,B,0.378,0.352,0.176,0.063
147,65739,-462.48,1000,16.8,0.4433,0.0651,0.499,0.5391,0.8543,0.2719,0.054,0.258,-0.6093,B,0.379,0.353,0.176,0.063
148,68739,7364.93,3000,89.6,0.4223,0.1646,0.4001,0.5298,0.9632,1.4797,0.675,0.455,-0.518,B,0.382,0.355,0.177,0.064
149,71735,-108.62,2996,30.3,0.6028,0.0577,0.4167,0.5077,0.9177,0.2622,0.0911,0.3579,-0.4864,B,0.386,0.357,0.179,0.064
150,74735,7356.53,3000,91.6,0.4409,0.118,0.395,0.5509,0.9782,1.677,0.4891,0.4451,-0.5561,B,0.39,0.36,0.18,0.065
151,77474,-838.0,2739,19.8,0.5891,0.0811,0.4119,0.5166,0.883,0.2156,0.0766,0.2794,-0.4985,B,0.393,0.362,0.181,0.065
152,80474,10190.72,3000,98.5,0.3376,0.1931,0.3838,0.5953,0.9834,2.275,0.8169,0.4648,-0.6249,B,0.397,0.364,0.182,0.066
153,82091,677.36,1617,63.9,0.8079,0.1017,0.4286,0.5072,0.8791,0.2393,0.3029,0.3233,-0.4916,B,0.399,0.366,0.183,0.066
154,85091,-1925.77,3000,5.8,0.9004,0.0706,0.4362,0.4823,0.8486,0.023,0.0199,0.3038,-0.4584,B,0.402,0.368,0.184,0.067
155,85778,702.62,687,83.0,0.6792,0.1201,0.4828,0.4556,0.8611,0.4873,0.4598,0.2925,-0.4215,B,0.403,0.369,0.184,0.067
156,86462,600.27,684,72.4,0.6135,0.1445,0.4448,0.5695,0.9007,0.5538,0.4493,0.3424,-0.6052,B,0.404,0.369,0.185,0.067
157,87082,1108.19,620,94.0,0.5254,0.1149,0.4275,0.5154,0.9255,1.1049,0.5016,0.3606,-0.4962,B,0.404,0.37,0.185,0.067
158,89425,2148.46,2343,60.6,0.6183,0.1516,0.4232,0.5487,0.9588,0.5999,0.3846,0.4205,-0.5567,B,0.407,0.372,0.186,0.068
159,92425,2588.02,3000,54.4,0.5326,0.1304,0.4025,0.5097,0.9418,0.679,0.3321,0.3629,-0.4888,B,0.411,0.374,0.187,0.068
160,95425,264.29,3000,20.6,0.5402,0.0851,0.3411,0.4676,0.9776,0.308,0.084,0.4168,-0.4139,B,0.415,0.376,0.188,0.069
