episode,timestep,reward,steps,visibility_pct,survived,mean_action_mag,mean_action_jerk,r_track_sum,r_alive_sum,r_jerk_sum,term_reason
182,30912,136.71,173,93.6,0,0.5313,0.4732,119.409,17.3,0.0,
183,31082,154.73,170,100.0,0,0.4999,0.3185,137.727,17.0,0.0,
184,31268,99.55,186,87.1,0,0.49,0.4436,80.946,18.6,0.0,
185,31396,64.36,128,100.0,0,0.5819,0.5128,61.556,12.8,0.0,altitude_high
186,31524,43.31,128,76.6,0,0.3754,0.3797,40.51,12.8,0.0,altitude_low
187,31695,132.33,171,100.0,0,0.451,0.3686,115.234,17.1,0.0,
188,31862,125.19,167,100.0,0,0.4613,0.3249,118.493,16.7,0.0,altitude_high
189,32021,56.33,159,90.6,0,0.4945,0.3657,40.426,15.9,0.0,
190,32161,77.11,140,100.0,0,0.4858,0.3693,73.105,14.0,0.0,altitude_high
191,32378,148.16,217,98.2,0,0.4983,0.4458,126.455,21.7,0.0,
192,32538,105.65,160,100.0,0,0.4964,0.3971,99.649,16.0,0.0,altitude_high
193,32732,47.58,194,74.2,0,0.4724,0.3101,28.18,19.4,0.0,
194,32945,159.73,213,100.0,0,0.4558,0.4406,138.428,21.3,0.0,
195,33118,93.42,173,100.0,0,0.4588,0.3812,76.125,17.3,0.0,
196,33280,111.02,162,100.0,0,0.4633,0.4371,94.818,16.2,0.0,
197,33459,114.41,179,100.0,0,0.3903,0.3412,96.511,17.9,0.0,
198,33655,70.06,196,79.1,0,0.3627,0.356,50.458,19.6,0.0,
199,33817,122.38,162,96.9,0,0.5631,0.3976,106.179,16.2,0.0,
200,33975,123.29,158,100.0,0,0.3523,0.4379,107.487,15.8,0.0,
201,34211,31.4,236,62.7,0,0.4172,0.3188,7.799,23.6,0.0,
202,34389,137.26,178,100.0,0,0.329,0.3211,119.459,17.8,0.0,
203,34554,145.45,165,100.0,0,0.5193,0.3543,128.951,16.5,0.0,
204,34739,145.76,185,100.0,0,0.4781,0.3161,127.258,18.5,0.0,
205,34903,104.8,164,100.0,0,0.4278,0.4192,98.403,16.4,0.0,altitude_high
